"","Ensembl.Gene.ID","GeneSymbol","Initially.Assigned.Module.Color","consensus.kMEblack","consensus.kMEblue","consensus.kMEbrown","consensus.kMEcyan","consensus.kMEgreen","consensus.kMEgreenyellow","consensus.kMEmagenta","consensus.kMEmidnightblue","consensus.kMEpink","consensus.kMEpurple","consensus.kMEred","consensus.kMEsalmon","consensus.kMEtan","consensus.kMEturquoise","consensus.kMEyellow"
"ENSG00000109919","ENSG00000109919","MTCH2","midnightblue",0.495085224760437,0,0.339452442663213,-0.215759331230532,-0.192858534968456,-0.187907668659344,-0.140948146814877,0.629439527754976,0.102181702843731,-0.368178440052381,0.270194917218194,-0.435335716391029,0,-0.17978977390549,-0.546927781196616
"ENSG00000109920","ENSG00000109920","FNBP4","turquoise",-0.0913861266063059,0.344733623073213,0.231205409837228,0,-0.140167858500987,0,0.0288936868184217,0,-0.301012359540181,0,-0.153040259603736,-0.000341707524112063,0,0,0
"ENSG00000109927","ENSG00000109927","TECTA","grey",0.230235381675881,-0.472109430854982,0,-0.549333573569565,0,-0.161414027858015,-0.3749992779852,0.0312989706165211,0.200522836283019,-0.187073359652984,0.536359343497506,-0.199268687354763,-0.0696722050033494,-0.174844284972378,-0.097550391244236
"ENSG00000109929","ENSG00000109929","SC5D","grey",0.231865592588163,-0.0353910807218311,0.366201044897423,-0.348645006651547,-0.309715897093972,0,-0.530211389753448,0.476531078475314,0,-0.0343716471001765,0.429590128766382,-0.0617512076184448,-0.319065892522911,-0.00293512595989132,-0.240493391285455
"ENSG00000109943","ENSG00000109943","CRTAM","grey",0,0,0.0559751999401313,0,-0.103834772938319,-0.0704286187779002,0,0.0617420012324219,0,-0.157324903380765,0,-0.0777258155166645,0,-0.175032178656972,-0.00713978870957023
"ENSG00000109944","ENSG00000109944","C11orf63","grey",0.157047872638202,0,0.118170539644444,-0.0486966023620531,-0.212677537772357,-0.0150475332184133,0,0.307779198746265,0.0611462679708798,-0.0568282792429724,0.227361760476679,-0.0841825415458814,0,-0.242792167663332,-0.203551492979799
"ENSG00000109956","ENSG00000109956","B3GAT1","turquoise",-0.0237168092559925,0,0,0,0.173805248635767,0,0,-0.240934908431338,0,0.0363162891536095,0,0,0,0.262553622397319,0.181784464293163
"ENSG00000109971","ENSG00000109971","HSPA8","brown",0.27151479635868,0.0829895991818128,0.443889108297146,0,-0.344642179634759,0,-0.0934987304326857,0.565668930506389,0,-0.0822673793141988,0.183719231835041,-0.0468368344075117,-0.0629329514101341,-0.120681314894792,-0.310955282766561
"ENSG00000110002","ENSG00000110002","VWA5A","salmon",-0.0270305600263863,0,0,0,0,0.496368039339674,0,-0.13870594766261,0,0.445970090924961,0,0.44965527663828,-0.113054935133225,0.223732248844079,0.0537212298081556
"ENSG00000110011","ENSG00000110011","DNAJC4","green",-0.12670864673264,-0.293147579564188,-0.455286345050603,0.0348583508878344,0.58042109146705,0,0.0295131823496865,-0.393381004504297,0.196878327274876,0,-0.124208722310617,0,0.0666486392799705,0,0.282275004202172
"ENSG00000110013","ENSG00000110013","SIAE","black",0.714507130888217,-0.347948904230626,0,-0.38355905665948,0,-0.0849968476915889,-0.310236610368631,0.229516892744214,0.255734958567959,-0.13980371447987,0.46722902731986,-0.317203869458474,-0.0277751240892982,0,-0.437951074538027
"ENSG00000110031","ENSG00000110031","LPXN","grey",-0.0368225409220925,0,0,0.00774037473043539,0,0.27490844969108,0,0,0,0.110599601115263,-0.0668083176277931,0.0608372333130855,0,0.382245084972816,0
"ENSG00000110047","ENSG00000110047","EHD1","cyan",-0.240177645349268,0.460424727350657,0,0.569276610705065,0,0,0.549000343856632,0,-0.0541249376275512,0,-0.665790029064905,0,0.374930840685818,0,0
"ENSG00000110048","ENSG00000110048","OSBP","grey",0.162526678056153,0,0.186499940421018,0,-0.119710451508487,-0.00927842768996201,0,0.237913439220832,0,-0.103785601578932,0.0381299896473265,-0.075375532741211,0,-0.0271415245949349,-0.0843751170604756
"ENSG00000110057","ENSG00000110057","UNC93B1","salmon",-0.309175835876416,0,-0.26731085971413,0.283174776212854,0.275760190196987,0.657684079246672,0,-0.52604808396807,0,0.618330612353616,-0.18711774400806,0.587618885234924,0,0.243636724735246,0.302006727121841
"ENSG00000110060","ENSG00000110060","PUS3","grey",0,0.183358134126164,0,0,0,0,0.217130571661347,0,0,0,-0.0226080440355477,0,0.199253396651878,-0.00626855660610579,0
"ENSG00000110063","ENSG00000110063","DCPS","grey",0,-0.0929513917712631,0,0,-0.00950674037882336,0,-0.0498706609734683,0,0,0,0,0,-0.11161079547961,-0.0161319414410788,0
"ENSG00000110066","ENSG00000110066","KMT5B","grey",0,0.119603025126316,0.475737742773376,0,-0.260929772415606,-0.0461744376185139,0,0.152286518892424,-0.269232562702139,0,-0.0409236721906991,-0.0875029378093742,0,0,0
"ENSG00000110074","ENSG00000110074","FOXRED1","grey",0.55188632868385,-0.338372519837417,0,-0.35911490050755,0.0883214651328336,-0.260429870327939,-0.103446647216753,0.115239548776048,0.510156078662124,-0.394109263339693,0.37950743888342,-0.45425691083835,0.194066410538035,-0.161329943011,-0.0939919445074782
